source_row,id,date,partition
0,7129300520,2014-10-13,train_validation
1,6414100192,2014-12-09,train_validation
2,5631500400,2015-02-25,train_validation
3,2487200875,2014-12-09,train_validation
4,1954400510,2015-02-18,train_validation
5,7237550310,2014-05-12,train_validation
6,1321400060,2014-06-27,train_validation
7,2008000270,2015-01-15,train_validation
8,2414600126,2015-04-15,test
9,3793500160,2015-03-12,test
10,1736800520,2015-04-03,test
11,9212900260,2014-05-27,train_validation
12,0114101516,2014-05-28,train_validation
13,6054650070,2014-10-07,train_validation
14,1175000570,2015-03-12,test
15,9297300055,2015-01-24,train_validation
16,1875500060,2014-07-31,train_validation
17,6865200140,2014-05-29,train_validation
18,0016000397,2014-12-05,train_validation
19,7983200060,2015-04-24,test
20,6300500875,2014-05-14,train_validation
21,2524049179,2014-08-26,train_validation
22,7137970340,2014-07-03,train_validation
23,8091400200,2014-05-16,train_validation
24,3814700200,2014-11-20,train_validation
25,1202000200,2014-11-03,train_validation
26,1794500383,2014-06-26,train_validation
27,3303700376,2014-12-01,train_validation
28,5101402488,2014-06-24,train_validation
29,1873100390,2015-03-02,train_validation
30,8562750320,2014-11-10,train_validation
31,2426039314,2014-12-01,train_validation
32,0461000390,2014-06-24,train_validation
33,7589200193,2014-11-10,train_validation
34,7955080270,2014-12-03,train_validation
35,9547205180,2014-06-13,train_validation
36,9435300030,2014-05-28,train_validation
37,2768000400,2014-12-30,train_validation
38,7895500070,2015-02-13,train_validation
39,2078500320,2014-06-20,train_validation
40,5547700270,2014-07-15,train_validation
41,7766200013,2014-08-11,train_validation
42,7203220400,2014-07-07,train_validation
43,9270200160,2014-10-28,train_validation
44,1432701230,2014-07-29,train_validation
45,8035350320,2014-07-18,train_validation
46,8945200830,2015-03-25,test
47,4178300310,2014-07-16,train_validation
48,9215400105,2015-04-28,test
49,0822039084,2015-03-11,test
50,5245600105,2014-09-16,train_validation
51,7231300125,2015-02-17,train_validation
52,7518505990,2014-12-31,train_validation
53,3626039271,2015-02-05,train_validation
54,4217401195,2015-03-03,train_validation
55,9822700295,2014-05-12,train_validation
56,9478500640,2014-08-19,train_validation
57,2799800710,2015-04-07,test
58,7922800400,2014-08-27,train_validation
59,8079040320,2015-02-23,train_validation
60,1516000055,2014-12-10,train_validation
61,9558200045,2014-08-28,train_validation
62,5072410070,2014-10-21,train_validation
63,9528102996,2014-12-07,train_validation
64,1189001180,2014-06-03,train_validation
65,3253500160,2014-11-20,train_validation
66,3394100030,2014-09-09,train_validation
67,3717000160,2014-10-09,train_validation
68,1274500060,2014-08-25,train_validation
69,1802000060,2014-06-12,train_validation
70,1525059190,2014-09-12,train_validation
71,1049000060,2015-01-05,train_validation
72,8820901275,2014-06-10,train_validation
73,5416510140,2014-07-10,train_validation
74,3444100400,2015-03-16,test
75,3276920270,2014-11-05,train_validation
76,4036801170,2014-10-13,train_validation
77,2391600320,2015-04-20,test
78,6300000287,2014-06-09,train_validation
79,1531000030,2015-03-23,test
80,5104520400,2014-12-02,train_validation
81,7437100340,2014-12-22,train_validation
82,9418400240,2014-10-28,train_validation
83,1523059105,2015-01-28,train_validation
84,1133000671,2014-06-02,train_validation
85,4232902595,2014-11-14,train_validation
86,2599001200,2014-11-03,train_validation
87,3342103156,2014-06-18,train_validation
88,1332700270,2014-05-19,train_validation
89,3869900162,2014-09-04,train_validation
90,2791500270,2014-05-22,train_validation
91,5036300431,2015-03-11,test
92,4168000060,2015-02-26,train_validation
93,6021501535,2014-07-25,train_validation
94,6021501535,2014-12-23,train_validation
95,1483300570,2014-09-08,train_validation
96,3422049190,2015-03-30,test
97,1099611230,2014-09-12,train_validation
98,0722079104,2014-07-11,train_validation
99,7338200240,2014-05-16,train_validation
100,1952200240,2014-06-11,train_validation
101,5200100125,2014-10-27,train_validation
102,7214720075,2014-12-12,train_validation
103,2450000295,2014-10-07,train_validation
104,6197800045,2014-09-24,train_validation
105,1328310370,2015-04-02,test
106,0546000875,2014-05-23,train_validation
107,3530510041,2014-07-23,train_validation
108,1853000400,2015-03-05,train_validation
109,3134100116,2014-08-27,train_validation
110,9545230140,2014-07-25,train_validation
111,3362400511,2015-03-04,train_validation
112,2525310310,2014-09-16,train_validation
113,6126500060,2014-11-24,train_validation
114,8961960160,2014-10-28,train_validation
115,3626039325,2014-11-21,train_validation
116,3362400431,2014-06-26,train_validation
117,4060000240,2014-06-23,train_validation
118,3454800060,2015-01-08,train_validation
119,1695900060,2015-05-11,test
120,7278700070,2015-01-02,train_validation
121,6675500070,2014-11-19,train_validation
122,3626039187,2015-04-06,test
123,3524049083,2014-11-04,train_validation
124,3275860240,2014-06-18,train_validation
125,4389200955,2015-03-02,train_validation
126,4058801670,2014-07-17,train_validation
127,8732020310,2014-07-17,train_validation
